"id","name"
"C_513d2436","2003hangzhou"
"C_11419a5b","2017xian"
"C_fe02de36","2009hangzhou"
"C_b512fc89","2018chengdu"
"C_dd33d20d","2010chongqing"
"C_ff6fb7bf","2019wuhan"
"C_3e7c9a72","2008shenzhen"
"C_1cbef555","2007chengdu"
"C_25744082","2001beijing"
"C_fd3a4a75","2006shenzhen"
"C_8ef0d42e","2013chongqing"
"C_07ec2a0c","2007shenzhen"
"C_a0b10acc","2018chongqing"
"C_86904c0b","2001xian"
"C_95047fbd","2010chengdu"
"C_bd5dc716","2012guangzhou"
"C_d3f42f81","2002shenzhen"
"C_7745222f","2001chongqing"
"C_2b68d3e2","2002nanjing"
"C_0662fb0e","2004nanjing"
"C_420ef3d1","2015nanjing"
"C_7ba8cad6","2003wuhan"
"C_2410ea22","2010shanghai"
"C_4d030812","2015chongqing"
"C_989406e5","2000hangzhou"
"C_2a2a2299","2014nanjing"
"C_dc5c1a67","2019chongqing"
"C_3c37217f","2009chongqing"
"C_8b8162af","2011chongqing"
"C_1d09fbd5","2009shanghai"
"C_c1907b17","2016beijing"
"C_d9ae3d47","2014chongqing"
"C_9aea473f","2003guangzhou"
"C_d65905fc","2006guangzhou"
"C_5230a314","2013nanjing"
"C_4b3272c8","2006chengdu"
"C_e94a4569","2008guangzhou"
"C_d2351643","2012xian"
"C_9a81c718","2015wuhan"
"C_14dd585a","2019shanghai"
"C_2e697d04","2020shanghai"
"C_06e9328d","2006nanjing"
"C_7708651b","2010wuhan"
"C_d7eb5f90","2006shanghai"
"C_d8c15e52","2016xian"
"C_433984e3","2001nanjing"
"C_93f9ab70","2015shenzhen"
"C_da6349e8","2015guangzhou"
"C_f32faef6","2000xian"
"C_0bfd28dc","2012beijing"
"C_10d9f5c6","2003chengdu"
"C_b59c6e7e","2017shenzhen"
"C_4544a87f","2004hangzhou"
"C_d919eaca","2002xian"
"C_85e74f4a","2005shenzhen"
"C_fd1c75b2","2010shenzhen"
"C_3abbe682","2005chengdu"
"C_019ac85e","2006xian"
"C_61f34391","2019chengdu"
"C_ad118c7d","2011nanjing"
"C_6239624b","2006wuhan"
"C_8353d04e","2009wuhan"
"C_2a6ea647","2003beijing"
"C_5332b7fd","2020guangzhou"
"C_eb27aa60","2004chengdu"
"C_f0f3f050","2014chengdu"
"C_9158054f","2002wuhan"
"C_b50faaec","2018shenzhen"
"C_fcafbbf2","2002beijing"
"C_38afc09b","2018wuhan"
"C_7bec92b7","2018nanjing"
"C_779b800d","2013hangzhou"
"C_c09c6add","2011chengdu"
"C_3a3f7e00","2020beijing"
"C_09b15635","2000shenzhen"
"C_55367339","2011xian"
"C_43721875","2010hangzhou"
"C_f0e19aef","2004shenzhen"
"C_a13b8724","2008chongqing"
"C_6f1b5745","2013beijing"
"C_27c790c5","2016shenzhen"
"C_4dcf53dd","2008wuhan"
"C_4bc1fc1e","2001wuhan"
"C_553c6b99","2017guangzhou"
"C_77819031","2011shanghai"
"C_4c14af3e","2001hangzhou"
"C_61abf985","2011hangzhou"
"C_673b9c91","2008chengdu"
"C_4edacd15","2020shenzhen"
"C_b12a2af9","2014shenzhen"
"C_112f0e5e","2002hangzhou"
