"problem_id","solution_id"
"P_6a8725db","413"
"P_7cac6825","193"
"P_0bf0da11","778"
"P_4c514279","663"
"P_d538033f","707"
"P_8c2a60e3","884"
"P_a3ca8394","788"
"P_a4fd5725","889"
"P_f1462b71","485"
"P_660f83f2","648"
"P_d4214cfe","173"
"P_fd346c50","904"
"P_ee9ddea4","690"
"P_4fdf9fad","392"
"P_d030ca87","385"
"P_f6308596","472"
"P_26ed8702","121"
"P_156f0668","862"
"P_9b2518be","505"
"P_95fb6cc3","646"
"P_334f7562","319"
"P_5e161e07","137"
"P_e09a7a61","637"
"P_c8ba5ead","769"
"P_3414890e","827"
"P_4a614fa5","616"
"P_0f76ed21","678"
"P_3735973d","806"
"P_edadb429","448"
"P_9d210e31","877"
"P_fc78b59f","507"
"P_346df98c","789"
"P_71ba98f1","628"
"P_d6c3a7a1","351"
"P_15a68d68","561"
"P_cfd92256","342"
"P_1e17c4ef","592"
"P_d2b9edf7","481"
"P_5959b3fe","44"
"P_f9c002e8","22"
"P_b315aefa","224"
"P_36a4f502","231"
"P_aa0fa687","604"
"P_35f289be","523"
"P_7068554e","561"
"P_fd55912d","900"
"P_22706ceb","305"
"P_21a39250","416"
"P_bc85d5a6","809"
"P_e5162135","757"
"P_b0bb16c5","915"
"P_f86ce45f","208"
"P_8c47e3da","181"
"P_dd406a14","603"
"P_65cf1bed","964"
"P_0cbb5021","888"
"P_4913befc","99"
"P_90393450","332"
"P_dfd11e09","114"
"P_4a9ddc77","867"
"P_3a383ad5","879"
"P_2ddf8dfe","229"
"P_7e87e139","630"
"P_19b1cdd4","422"
"P_01ba8a3e","540"
"P_ac26e937","503"
"P_73883383","834"
"P_70dc9f35","904"
"P_4e05cf37","918"
"P_449abd06","663"
"P_dd33e23d","240"
"P_6f520158","231"
"P_16782446","268"
"P_9c3ee8ee","973"
"P_4fd64361","214"
"P_97629548","637"
"P_69bc0087","954"
"P_7abc92bd","123"
"P_326102ba","228"
"P_67c1c34a","374"
"P_8a861914","376"
"P_70a84eb3","287"
"P_e57f2680","958"
"P_bedc27dc","983"
"P_b5142243","105"
"P_5775c159","768"
"P_e183d951","465"
"P_0cbcddf9","275"
"P_9fd91b47","3"
"P_d7e4939a","175"
"P_47495b84","648"
"P_d7089519","314"
"P_41ed1571","215"
"P_adbacbd8","102"
"P_63ba612a","245"
"P_347c9af7","106"
"P_06d1b48e","636"
"P_d015b342","762"
"P_5de451b1","693"
"P_70d3d159","838"
"P_89d0dc43","76"
"P_7709a581","721"
"P_8b2c07d5","903"
"P_645eafb3","845"
"P_5e820b26","927"
"P_3b456048","870"
"P_6ae67d09","150"
"P_4bf31618","288"
"P_1c6ee9c3","973"
"P_77f52418","388"
"P_034a5847","921"
"P_85612005","11"
"P_a611d246","266"
"P_f3ce6323","568"
"P_a12c6258","282"
"P_863a76b1","560"
"P_b05ac0cd","308"
"P_1e74e72d","992"
"P_adf5a9fb","875"
"P_c5cf3274","57"
"P_1ea39fc1","184"
"P_b7058c32","993"
"P_e88024b4","630"
"P_553fa999","737"
"P_ffafe642","989"
"P_6e6ddc26","824"
"P_c26d22de","278"
"P_96c43883","592"
"P_1f69edff","447"
"P_32ad8a28","711"
"P_81d9f9bc","237"
"P_0f04f199","108"
"P_9c4b19d3","195"
"P_257d863d","561"
"P_00aa509a","871"
"P_7cc5c179","140"
"P_c9772b1f","749"
"P_0c6d8073","275"
"P_61e17a69","829"
"P_55c2b2ba","779"
"P_5a401d12","233"
"P_a8ef7bce","750"
"P_479271f7","388"
"P_a62de441","818"
"P_10711ece","945"
"P_f2186b5a","495"
"P_3944b169","371"
"P_23930213","905"
"P_a793ec5b","681"
"P_9dac9148","80"
"P_975b94fe","686"
"P_4b69196f","164"
"P_e1dea31c","7"
"P_a88ec3b7","295"
"P_42792b2a","529"
"P_ddf4c6f6","985"
"P_68182ede","53"
"P_aa29240b","551"
"P_6ed549cf","957"
"P_1ea09057","456"
"P_526e48e2","96"
"P_51335fa1","883"
"P_4bbf37b3","271"
"P_e7dedc81","834"
"P_f294f3d4","816"
"P_f43a1cbf","247"
"P_4bbd7b43","787"
"P_3992b5c2","462"
"P_3f7d08ae","678"
"P_0cb094ac","858"
"P_f7574903","488"
"P_e5129832","826"
"P_002f22c1","732"
"P_60eb98cd","151"
"P_99671995","897"
"P_296f1bac","258"
"P_0e867827","965"
"P_94709f60","665"
"P_942b2ae6","668"
"P_b0c459ab","345"
"P_346b221a","367"
"P_b8e54130","667"
"P_83dfd3b7","650"
"P_2f643975","552"
"P_799a1a04","549"
"P_b6b45f19","430"
"P_c2514a6a","396"
"P_9a46b373","566"
"P_c240d1e7","88"
"P_5529faa9","661"
"P_49d01ba3","351"
"P_0b6c9917","973"
"P_b623d54d","739"
"P_9aca53c9","312"
"P_e0b3ddb3","44"
"P_8f67cc31","456"
"P_66bbd406","986"
"P_c5e1a295","368"
"P_3f713f32","932"
"P_4554a573","501"
"P_6eb20249","850"
"P_99987a2e","890"
"P_5b5ae8b3","957"
"P_a30a8636","71"
"P_93324890","41"
"P_f177793f","80"
"P_89f34171","905"
"P_60e565a8","850"
"P_6856284c","618"
"P_ddfdc7f5","235"
"P_762e7f50","710"
"P_79f4d55b","737"
"P_e399689a","496"
"P_2aadeca6","281"
"P_fa9ae1b5","337"
"P_7dbfe563","963"
"P_4d4b0ec0","23"
"P_ac5d3cff","507"
"P_71bfd0b8","849"
"P_70e57919","379"
"P_7b22efd1","174"
"P_e3f16508","456"
"P_d36ec08e","505"
"P_3e4f8fc4","709"
"P_bbc8be86","588"
"P_a8b34a6d","14"
"P_ce63b91c","812"
"P_804a9bbb","238"
"P_a905ddb2","229"
"P_37e9066c","19"
"P_a90f2a6f","13"
"P_5090e5d4","639"
"P_dc7f3d4e","961"
"P_b28188e6","359"
"P_eb332d24","637"
"P_014be30b","641"
"P_49b6c2fa","572"
"P_d9be641d","762"
"P_62fd5a36","740"
"P_4af3f3b1","316"
"P_732c4757","901"
"P_be8089bf","307"
"P_c8df0c53","232"
"P_ba7a78cd","840"
"P_e500c68c","490"
"P_a3b0a1a0","72"
"P_959fb1de","559"
"P_f40f34eb","665"
"P_c7411d60","407"
"P_d5203163","353"
"P_91a0175e","809"
"P_c0e6cb03","206"
"P_d8adf2e4","635"
"P_94af17ba","584"
"P_7c7ea0e9","928"
"P_39e5a552","596"
"P_6b3bbce7","939"
"P_a474f11e","620"
"P_4279d575","235"
"P_0f0b570e","264"
"P_c2cbfe22","569"
"P_6045b285","157"
"P_1edb1ed0","787"
"P_39ec19d8","75"
"P_bdcce1cd","871"
"P_e84f84ee","599"
"P_ff6a9a20","442"
