"problem_id","tag_id"
"P_6a8725db","T_3aee4b0a"
"P_6a8725db","T_e8706a28"
"P_6a8725db","T_72a40ac7"
"P_6a8725db","T_2d5563ed"
"P_7cac6825","T_7f8620e7"
"P_7cac6825","T_ed7daeb1"
"P_7cac6825","T_09617f81"
"P_7cac6825","T_7e676e9e"
"P_0bf0da11","T_9c810920"
"P_0bf0da11","T_d46a3928"
"P_0bf0da11","T_3aee4b0a"
"P_0bf0da11","T_0c070c59"
"P_0bf0da11","T_95687afb"
"P_0bf0da11","T_e8706a28"
"P_0bf0da11","T_b6fa1536"
"P_0bf0da11","T_7e676e9e"
"P_0bf0da11","T_7b965a78"
"P_4c514279","T_d46a3928"
"P_4c514279","T_0c070c59"
"P_4c514279","T_95687afb"
"P_4c514279","T_e8706a28"
"P_4c514279","T_b6fa1536"
"P_4c514279","T_7b965a78"
"P_d538033f","T_848b8f26"
"P_d538033f","T_3aee4b0a"
"P_d538033f","T_09617f81"
"P_d538033f","T_7e676e9e"
"P_8c2a60e3","T_7f8620e7"
"P_a3ca8394","T_7f8620e7"
"P_a3ca8394","T_09617f81"
"P_a4fd5725","T_3aee4b0a"
"P_a4fd5725","T_47c4ef35"
"P_a4fd5725","T_d30d7060"
"P_f1462b71","T_d46a3928"
"P_f1462b71","T_4ac4921f"
"P_f1462b71","T_e8706a28"
"P_f1462b71","T_09617f81"
"P_f1462b71","T_feaae678"
"P_f1462b71","T_d30d7060"
"P_660f83f2","T_ac1ed416"
"P_660f83f2","T_0c070c59"
"P_660f83f2","T_2d5563ed"
"P_d4214cfe","T_d46a3928"
"P_d4214cfe","T_09617f81"
"P_fd346c50","T_9c810920"
"P_fd346c50","T_7e676e9e"
"P_fd346c50","T_7b965a78"
"P_ee9ddea4","T_3aee4b0a"
"P_ee9ddea4","T_09617f81"
"P_4fdf9fad","T_7f8620e7"
"P_d030ca87","T_09617f81"
"P_d030ca87","T_b6fa1536"
"P_f6308596","T_09617f81"
"P_f6308596","T_7e676e9e"
"P_f6308596","T_d30d7060"
"P_26ed8702","T_9cfa7aef"
"P_26ed8702","T_09617f81"
"P_156f0668","T_3aee4b0a"
"P_9b2518be","T_3aee4b0a"
"P_95fb6cc3","T_95687afb"
"P_95fb6cc3","T_e8706a28"
"P_334f7562","T_848b8f26"
"P_334f7562","T_95687afb"
"P_334f7562","T_9cfa7aef"
"P_334f7562","T_09617f81"
"P_334f7562","T_7e676e9e"
"P_5e161e07","T_ac1ed416"
"P_5e161e07","T_95687afb"
"P_5e161e07","T_09617f81"
"P_5e161e07","T_7e676e9e"
"P_5e161e07","T_573b5cfb"
"P_e09a7a61","T_d46a3928"
"P_e09a7a61","T_7f8620e7"
"P_e09a7a61","T_0c070c59"
"P_e09a7a61","T_95687afb"
"P_e09a7a61","T_e8706a28"
"P_e09a7a61","T_09617f81"
"P_e09a7a61","T_2d5563ed"
"P_c8ba5ead","T_7f8620e7"
"P_c8ba5ead","T_95687afb"
"P_c8ba5ead","T_7e676e9e"
"P_c8ba5ead","T_7b965a78"
"P_3414890e","T_d46a3928"
"P_3414890e","T_7f8620e7"
"P_3414890e","T_95687afb"
"P_3414890e","T_09617f81"
"P_3414890e","T_7e676e9e"
"P_3414890e","T_7b965a78"
"P_4a614fa5","T_9c810920"
"P_4a614fa5","T_d46a3928"
"P_4a614fa5","T_0c070c59"
