"solution_id","person_id"
"S1","PERSON_db5da49f"
"S2","PERSON_2be36bc7"
"S3","PERSON_3e473e9d"
"S4","PERSON_a56b452f"
"S5","PERSON_e014ceef"
"S6","PERSON_09ac4e03"
"S7","PERSON_1b38a7cf"
"S8","PERSON_f8991942"
"S9","PERSON_eadd1547"
"S10","PERSON_f2bc355f"
"S11","PERSON_b30750a9"
"S12","PERSON_23961870"
"S13","PERSON_c810be9d"
"S14","PERSON_f1caebf6"
"S15","PERSON_a817232f"
"S16","PERSON_1b38a7cf"
"S17","PERSON_b9b18fc7"
"S18","PERSON_b30750a9"
"S19","PERSON_1b38a7cf"
"S20","PERSON_a817232f"
"S21","PERSON_db5da49f"
"S22","PERSON_db5da49f"
"S23","PERSON_2a5edb50"
"S24","PERSON_f475c1a5"
"S25","PERSON_f475c1a5"
"S26","PERSON_f475c1a5"
"S27","PERSON_b9b18fc7"
"S28","PERSON_2a5edb50"
"S29","PERSON_c581195d"
"S30","PERSON_ba1bf016"
"S31","PERSON_8472b745"
"S32","PERSON_23961870"
"S33","PERSON_3e473e9d"
"S34","PERSON_f2bc355f"
"S35","PERSON_09ac4e03"
"S36","PERSON_93ab0a5d"
"S37","PERSON_8a1497ea"
"S38","PERSON_1b38a7cf"
"S39","PERSON_c581195d"
"S40","PERSON_93ab0a5d"
"S41","PERSON_e014ceef"
"S42","PERSON_e014ceef"
"S43","PERSON_23961870"
"S44","PERSON_2a5edb50"
"S45","PERSON_f8991942"
"S46","PERSON_8472b745"
"S47","PERSON_b30750a9"
"S48","PERSON_23961870"
"S49","PERSON_23961870"
"S50","PERSON_ba1bf016"
"S51","PERSON_f475c1a5"
"S52","PERSON_8a1497ea"
"S53","PERSON_93ab0a5d"
"S54","PERSON_88353bd6"
"S55","PERSON_98d8713e"
"S56","PERSON_23961870"
"S57","PERSON_00ae65cb"
"S58","PERSON_f475c1a5"
"S59","PERSON_8a1497ea"
"S60","PERSON_2a5edb50"
"S61","PERSON_e014ceef"
"S62","PERSON_23961870"
