"id","name"
"TEAM_e37f37e7","fudandaxue10"
"TEAM_49f103ba","xidandaxue4"
"TEAM_85684dc1","zhongshandaxue7"
"TEAM_4746cb81","wuhandaxue3"
"TEAM_a1b6152f","huazhongkejidaxue3"
"TEAM_af65b231","dongnanidaxue8"
"TEAM_43fc2d12","sichuandaxue9"
"TEAM_d908d94d","zhongnanshifandaxue5"
"TEAM_b94e192d","qinghuadaxue8"
"TEAM_a7cf852d","xibeidaxue1"
"TEAM_291a3f36","wuhandaxue6"
"TEAM_48326b6a","beijingjiaotongdaxue4"
"TEAM_38ffce07","beihangdaxue2"
"TEAM_59cb684e","beijingyoufangdaxue4"
"TEAM_a1591cc6","zhongkeda5"
"TEAM_b8e29ff5","tongjidaxue10"
"TEAM_1569473d","xianjiaotongdaxue3"
"TEAM_eae85ef9","beihangdaxue6"
"TEAM_80189528","southeastdaxue4"
"TEAM_1be472e8","nanjingdaxue8"
"TEAM_7ee8086e","renmindaxue1"
"TEAM_b988a2a0","huananligongdaxue1"
"TEAM_e0c03b2a","beijingyoufangdaxue3"
"TEAM_64932c88","qinghuadaxue1"
"TEAM_4bbd2448","shanghaidaxue6"
"TEAM_40b97d2e","nanjingdaxue1"
"TEAM_ce7204d4","huazhongkejidaxue10"
"TEAM_50e1d5ba","beijingjiaotongdaxue2"
"TEAM_5603f990","zhongnanshifandaxue6"
"TEAM_1559d1ff","xibeidaxue10"
"TEAM_a7a01ffb","beihangdaxue7"
"TEAM_bbe46fef","dongnanidaxue4"
"TEAM_de59e149","tongjidaxue8"
"TEAM_45c5a183","huazhongkejidaxue6"
"TEAM_5fd0c711","shenzhendaxue6"
"TEAM_a2a30d57","hangzhoudianzi4"
"TEAM_e83890e7","southeastdaxue7"
"TEAM_b52f12a0","zhongshandaxue10"
"TEAM_b0b3b650","sichuandaxue1"
"TEAM_bf6eb6a6","lanzhoudaxue1"
"TEAM_896f0762","xibeidaxue7"
"TEAM_95f929fb","shanghaidaxue9"
"TEAM_fdd7a757","beijingyoufangdaxue6"
"TEAM_f3f45b14","shanghaijiaotongdaxue8"
"TEAM_1d1f5b3e","tongjidaxue5"
"TEAM_05d43662","beijingligongdaxue3"
"TEAM_11396da5","sichuandaxue3"
"TEAM_458888a4","fudandaxue2"
"TEAM_df87275a","hehaidaxue3"
"TEAM_6ddb0d42","huazhongkejidaxue4"
"TEAM_5f4f9d2c","fudandaxue8"
"TEAM_57313bcc","fudandaxue1"
"TEAM_702208ac","xidandaxue5"
"TEAM_5b6511de","xibeidaxue4"
"TEAM_11718974","beihangdaxue5"
"TEAM_c901dea5","zhejiangdaxue1"
