name,rating,tags,from,solution
Shifts and Swaps,3100,data structures;graphs;hashing;trees,2003hangzhou,413
Grid Coloring,2400,constructive algorithms;geometry;greedy;math,2017xian,193
"Red Light, Green Light (Hard version)",2200,binary search;brute force;data structures;dfs and similar;dp;graphs;implementation;math;number theory,2009hangzhou,778
"Red Light, Green Light (Easy version)",1700,brute force;dfs and similar;dp;graphs;implementation;number theory,2018chengdu,663
Make It Beautiful,1300,bitmasks;data structures;greedy;math,2010chongqing,707
Make It Permutation,1200,constructive algorithms,2019wuhan,884
Equal Subsequences,800,constructive algorithms;greedy,2008shenzhen,788
Incessant Rain,2500,data structures;divide and conquer;sortings,2007chengdu,889
Omg Graph,1900,brute force;dsu;graphs;greedy;shortest paths;sortings,2001beijing,485
Wildflower,1800,combinatorics;dfs and similar;trees,2006shenzhen,648
Lost Soul,1600,brute force;greedy,2013chongqing,173
Retaliation,1200,binary search;math;number theory,2007shenzhen,904
Cool Partition,1200,data structures;greedy,2018chongqing,690
Shrink,800,constructive algorithms,2007chengdu,392
False Alarm,800,greedy;implementation,2001xian,385
Gellyfish and Baby's Breath,1300,greedy;math;sortings,2010chengdu,472
Gellyfish and Tricolor Pansy,800,games;greedy,2012guangzhou,121
Gellyfish and Lycoris Radiata (Hard Version),3500,data structures,2002shenzhen,862
Gellyfish and Lycoris Radiata (Easy Version),3500,data structures,2001chongqing,505
Gellyfish and Mayflower,3500,dp;graphs,2002nanjing,646
Gellyfish and Forget-Me-Not,2900,bitmasks;dp;games;greedy;math,2004nanjing,319
Gellyfish and Eternal Violet,2700,combinatorics;dp;greedy;math;probabilities,2015nanjing,137
Gellyfish and Camellia Japonica,2100,brute force;constructive algorithms;dfs and similar;dp;graphs;greedy;trees,2003wuhan,637
Gellyfish and Flaming Peony,1500,constructive algorithms;dp;math;number theory,2010shanghai,769
Build an Array,2200,brute force;constructive algorithms;dp;greedy;math;number theory,2015chongqing,827
Small Operations,2000,binary search;brute force;dfs and similar;dp;math;number theory;sortings,2000hangzhou,616
Kirei Attacks the Estate,1400,dfs and similar;dp;greedy;trees,2014nanjing,678
Come a Little Closer,1400,brute force;greedy;implementation;math,2019chongqing,806
Need More Arrays,1000,dp;greedy,2009chongqing,448
Not Quite a Palindromic String,900,greedy;math,2003hangzhou,877
Square Year,800,binary search;brute force;math,2011chongqing,507
Two Arrays,2500,constructive algorithms;dfs and similar;graphs;math,2009shanghai,789
From Kazan with Love,2800,dfs and similar;graphs;implementation;trees,2016beijing,628
Cheater,2200,binary search;constructive algorithms;greedy;implementation,2014chongqing,351
Smilo and Minecraft,1700,brute force;constructive algorithms;greedy,2003guangzhou,561
Good Start,1200,constructive algorithms;math,2006guangzhou,342
Shashliks,800,greedy;math,2013nanjing,592
Divisible Subarrays,2900,binary search;bitmasks;brute force;data structures;interactive,2006chengdu,481
Puzzle,2400,brute force;constructive algorithms;greedy;math,2002nanjing,44
Changing the String,1900,binary search;data structures;greedy;implementation;sortings;strings,2008guangzhou,22
Creating a Schedule,1400,constructive algorithms;data structures;greedy;implementation;sortings,2012xian,224
Equal Values,1100,brute force;greedy;two pointers,2015wuhan,231
Fibonacci Cubes,1100,brute force;dp;implementation;math,2019shanghai,604
Energy Crystals,800,greedy;implementation;math,2020shanghai,523
Faculty,2400,brute force;greedy;math;number theory,2006nanjing,561
Melody,2300,dfs and similar;graphs;implementation,2010wuhan,900
Fewer Batteries,1700,binary search;dfs and similar;dp;graphs;greedy;hashing,2006shanghai,305
Racing,1400,constructive algorithms;greedy,2016xian,416
Down with Brackets,900,strings,2001nanjing,809
Fashionable Array,800,implementation;sortings,2006shenzhen,757
Penguin Steps,3000,binary search;dfs and similar;flows;graphs;shortest paths,2015shenzhen,915
Binary String Wowee,2400,combinatorics;dp;strings,2015guangzhou,208
D/D/D,1900,dfs and similar;graphs;greedy;shortest paths,2003wuhan,181
Hacking Numbers (Hard Version),2600,constructive algorithms;interactive;math;number theory,2015nanjing,603
Hacking Numbers (Medium Version),1700,constructive algorithms;interactive;math;number theory,2000xian,964
Hacking Numbers (Easy Version),1500,bitmasks;constructive algorithms;interactive;math;number theory,2012beijing,888
Slice to Survive,1200,bitmasks;greedy;math,2003chengdu,99
It's Time To Duel,800,implementation,2017shenzhen,332
Fallen Towers,2900,binary search;greedy,2001chongqing,114
Spruce Dispute,2600,constructive algorithms;dfs and similar;graphs;greedy;implementation;shortest paths;trees,2004hangzhou,867
Needle in a Numstack,2200,binary search;brute force;implementation;interactive,2002xian,879
Neo's Escape,1500,binary search;brute force;data structures;dp;dsu;graphs;greedy;implementation,2009hangzhou,229
SUMdamental Decomposition,1300,bitmasks;constructive algorithms;greedy;implementation;math,2005shenzhen,630
Permutation Warm-Up,800,combinatorics;greedy;math,2019chongqing,422
Cycling (Hard Version),2800,binary search;brute force;data structures;dp;greedy,2019shanghai,540
Cycling (Easy Version),2300,binary search;brute force;dp;greedy,2010shenzhen,503
Ain and Apple Tree,2600,binary search;constructive algorithms;greedy;math;trees,2005chengdu,834
Apple Tree Traversing,2100,brute force;dfs and similar;greedy;implementation;trees,2006xian,904
Maximum Subarray Sum,1500,binary search;constructive algorithms;dp;implementation;math,2000xian,918
Apples in Boxes,1100,games;greedy;math,2019chengdu,663
LRC and VIP,800,greedy;number theory,2019chengdu,240
Baudelaire (hard version),2500,binary search;dfs and similar;divide and conquer;implementation;interactive;trees,2011nanjing,231
Baudelaire (easy version),2200,binary search;constructive algorithms;divide and conquer;greedy;interactive;trees,2001nanjing,268
Goblin,1900,dfs and similar;dp;dsu;greedy;math,2006wuhan,973
Wolf,1800,binary search;greedy;math,2012xian,214
Flower Boy,1500,binary search;dp;greedy;two pointers,2002xian,637
Cherry Bomb,1000,greedy;math;sortings,2009wuhan,954
St. Chroma,900,constructive algorithms;greedy;math,2018chongqing,123
Dr. TC,800,brute force;math,2003beijing,228
Modulo 3,2700,data structures;divide and conquer;dsu;graphs;trees,2020guangzhou,374
Numbers and Strings,2600,binary search;brute force;dfs and similar;dp;implementation;math,2004chengdu,376
Unpleasant Strings,1700,binary search;dp;greedy;strings,2014chengdu,287
Array and GCD,1400,binary search;greedy;math;number theory,2002wuhan,958
Card Game,1100,brute force;constructive algorithms;games;greedy;math,2001nanjing,983
Move to the End,1000,brute force;data structures;dp;greedy;implementation,2018shenzhen,105
Three Decks,800,math,2002beijing,768
Maximize Nor,2600,bitmasks;data structures;dp;implementation;sortings,2018wuhan,465
Keep the Sum,2600,constructive algorithms;implementation;two pointers,2016beijing,275
Local Construction,2000,constructive algorithms;dfs and similar;implementation;two pointers,2011nanjing,3
Median Splits,1600,binary search;greedy;implementation;sortings,2018nanjing,175
Binary Typewriter,1100,greedy;math,2014chengdu,648
Common Multiple,800,brute force;greedy;implementation;math,2013hangzhou,314
The Picky Cat,900,implementation;sortings,2011chengdu,215
Dinner Time,900,constructive algorithms;math,2020beijing,102
Shoo Shatters the Sunshine,3300,combinatorics;dp;trees,2009shanghai,245
Kia Bakes a Cake,3100,data structures;dp;greedy;trees,2000shenzhen,106
Mani and Segments,2500,data structures;implementation;sortings;two pointers,2020guangzhou,636
23 Kingdom,2200,binary search;brute force;data structures;greedy;ternary search;two pointers,2011xian,762
Quartet Swapping,1800,brute force;data structures;divide and conquer;greedy;sortings,2014chongqing,693
Mex in the Grid,1300,constructive algorithms;implementation,2010hangzhou,838
Sasha and the Apartment Purchase,1400,math;sortings,2004shenzhen,76
Vadim's Collection,800,brute force;greedy,2008chongqing,721
Lost Luggage,3500,dp;flows,2013beijing,903
Clearing the Snowdrift,3100,data structures;dfs and similar;dp;greedy,2016shenzhen,845
Homework,2800,bitmasks;math;matrices,2008wuhan,927
Bermuda Triangle,2400,chinese remainder theorem;geometry;implementation;math;number theory,2016shenzhen,870
Baggage Claim,2300,combinatorics;dfs and similar;dp;dsu;graphs;implementation;math;trees,2001wuhan,150
Sports Betting,1400,2-sat;brute force;math;sortings,2017guangzhou,288
Wonderful XOR Problem,3200,bitmasks;combinatorics;dp;fft;math,2011shanghai,973
Wonderful Guessing Game,3200,bitmasks;constructive algorithms;interactive,2013chongqing,388
Wonderful Impostors,3100,data structures;implementation;two pointers,2001hangzhou,921
Wonderful Teddy Bears,2400,greedy;implementation;sortings,2011hangzhou,11
Wonderful Lightbulbs,2000,combinatorics;constructive algorithms;math,2008chengdu,266
Wonderful City,1700,dp;implementation,2013beijing,568
Wonderful Gloves,1100,greedy;math;sortings,2008chengdu,282
Wonderful Sticks,800,constructive algorithms;greedy,2020shenzhen,560
La Vaca Saturno Saturnita,1900,binary search;brute force;math;number theory,2014shenzhen,308
Chimpanzini Bananini,1700,data structures;implementation;math,2002hangzhou,992
Trulimero Trulicina,1600,constructive algorithms,2016xian,875
Boneca Ambalabu,1200,bitmasks,2004hangzhou,57
Tung Tung Sahur,1100,greedy;strings;two pointers,2003wuhan,184
Brr Brrr Patapim,900,math,2013xian,993
Bobritto Bandito,800,brute force;constructive algorithms,2009guangzhou,630
Trippi Troppi,800,strings,2005chengdu,737
Shorten the Array,1900,binary search;bitmasks;data structures;dfs and similar;greedy;strings;trees;two pointers,2007nanjing,989
Hackers and Neural Networks,1800,bitmasks;brute force;greedy,2008wuhan,824
Min Max MEX,1500,binary search;brute force;greedy,2002shenzhen,278
Skibidi Table,1400,bitmasks;implementation,2017guangzhou,592
Simple Repetition,1000,math;number theory,2007hangzhou,447
Expensive Number,900,greedy;math,2019xian,711
Ideal Generator,800,math,2008chengdu,237
Andryusha and CCB,2900,brute force;constructive algorithms;greedy;math;number theory;strings,2010chengdu,108
She knows...,2100,combinatorics;constructive algorithms;graphs;math,2014beijing,195
Mishkin Energizer,1800,brute force;constructive algorithms;greedy;implementation;strings,2018chengdu,561
Asuna and the Mosquitoes,1200,constructive algorithms;greedy;math,2006hangzhou,871
Lady Bug,1000,brute force;constructive algorithms;implementation;math,2006guangzhou,140
Kamilka and the Sheep,800,greedy;math;number theory;sortings,2011chongqing,749
Gleb and Boating,2300,brute force;constructive algorithms;data structures;dp;graphs;greedy;math;number theory;shortest paths,2007guangzhou,275
Igor and Mountain,1800,binary search;brute force;dp,2000nanjing,829
Interesting Ratio,1300,brute force;math;number theory;two pointers,2017hangzhou,779
Place of the Olympiad,1200,binary search;greedy;math,2019guangzhou,233
Combination Lock,1000,constructive algorithms;greedy,2002guangzhou,750
Team Training,800,dp;greedy;sortings,2019hangzhou,388
Olympiad Date,800,greedy;strings,2011guangzhou,818
Dining Hall,1700,data structures;greedy;implementation;sortings,2003wuhan,945
Pushing Balls,1000,brute force;dp;implementation,2015shenzhen,495
Treasure Hunt,800,implementation;math,2020chongqing,371
Black Cat Collapse,3500,,2009shanghai,905
Conditional Operators,3200,constructive algorithms,2005wuhan,681
