subject_id,relation,object_id
P1,考察,KP3
P1,考察,KP13
P1,考察,KP20
P1,考察,KP17
P2,考察,KP12
P2,考察,KP19
P2,考察,KP9
P2,考察,KP8
P3,考察,KP1
P3,考察,KP2
P3,考察,KP3
P3,考察,KP21
P3,考察,KP4
P3,考察,KP13
P3,考察,KP5
P3,考察,KP8
P3,考察,KP22
P4,考察,KP2
P4,考察,KP21
P4,考察,KP4
P4,考察,KP13
P4,考察,KP5
P4,考察,KP22
P5,考察,KP23
P5,考察,KP3
P5,考察,KP9
P5,考察,KP8
P6,考察,KP12
P7,考察,KP12
P7,考察,KP9
P8,考察,KP3
P8,考察,KP7
P8,考察,KP6
P9,考察,KP2
P9,考察,KP24
P9,考察,KP13
P9,考察,KP9
P9,考察,KP25
P9,考察,KP6
P10,考察,KP16
P10,考察,KP21
P10,考察,KP17
P11,考察,KP2
P11,考察,KP9
P12,考察,KP1
P12,考察,KP8
P12,考察,KP22
P13,考察,KP3
P13,考察,KP9
P14,考察,KP12
P15,考察,KP9
P15,考察,KP5
P16,考察,KP9
P16,考察,KP8
P16,考察,KP6
P17,考察,KP26
P17,考察,KP9
P18,考察,KP3
P19,考察,KP3
P20,考察,KP4
P20,考察,KP13
P21,考察,KP23
P21,考察,KP4
P21,考察,KP26
P21,考察,KP9
P21,考察,KP8
P22,考察,KP16
P22,考察,KP4
P22,考察,KP9
P22,考察,KP8
P22,考察,KP27
P23,考察,KP2
P23,考察,KP12
P23,考察,KP21
P23,考察,KP4
P23,考察,KP13
P23,考察,KP9
P23,考察,KP17
P24,考察,KP12
P24,考察,KP4
P24,考察,KP8
P24,考察,KP22
P25,考察,KP2
P25,考察,KP12
P25,考察,KP4
P25,考察,KP9
P25,考察,KP8
P25,考察,KP22
P26,考察,KP1
P26,考察,KP2
P26,考察,KP21
P26,考察,KP4
P26,考察,KP8
P26,考察,KP22
P26,考察,KP6
P27,考察,KP21
P27,考察,KP4
P27,考察,KP9
P27,考察,KP17
P28,考察,KP2
P28,考察,KP9
P28,考察,KP5
P28,考察,KP8
P29,考察,KP4
P29,考察,KP9
P30,考察,KP9
P30,考察,KP8
P31,考察,KP1
P31,考察,KP2
P31,考察,KP8
P32,考察,KP12
P32,考察,KP21
P32,考察,KP13
P32,考察,KP8
P33,考察,KP21
P33,考察,KP13
P33,考察,KP5
P33,考察,KP17
P34,考察,KP1
P34,考察,KP12
P34,考察,KP9
P34,考察,KP5
P35,考察,KP2
P35,考察,KP12
P35,考察,KP9
P36,考察,KP12
P36,考察,KP8
P37,考察,KP9
P37,考察,KP8
P38,考察,KP1
P38,考察,KP23
P38,考察,KP2
P38,考察,KP3
P38,考察,KP28
P39,考察,KP2
P39,考察,KP12
P39,考察,KP9
P39,考察,KP8
P40,考察,KP1
P40,考察,KP3
P40,考察,KP9
P40,考察,KP5
P40,考察,KP6
P40,考察,KP11
P41,考察,KP12
P41,考察,KP3
P41,考察,KP9
P41,考察,KP5
P41,考察,KP6
P42,考察,KP2
P42,考察,KP9
P42,考察,KP10
P43,考察,KP2
P43,考察,KP4
P43,考察,KP5
P43,考察,KP8
P44,考察,KP9
P44,考察,KP5
P44,考察,KP8
P45,考察,KP2
P45,考察,KP9
P45,考察,KP8
P45,考察,KP22
P46,考察,KP21
P46,考察,KP13
P46,考察,KP5
P47,考察,KP1
P47,考察,KP21
P47,考察,KP4
P47,考察,KP13
P47,考察,KP9
P47,考察,KP20
P48,考察,KP12
P48,考察,KP9
P49,考察,KP11
P50,考察,KP5
P50,考察,KP6
P51,考察,KP1
P51,考察,KP21
P51,考察,KP29
P51,考察,KP13
P51,考察,KP25
P52,考察,KP16
P52,考察,KP4
P52,考察,KP11
P53,考察,KP21
P53,考察,KP13
P53,考察,KP9
P53,考察,KP25
P54,考察,KP12
P54,考察,KP28
P54,考察,KP8
P54,考察,KP22
P55,考察,KP12
P55,考察,KP28
P55,考察,KP8
P55,考察,KP22
P56,考察,KP23
P56,考察,KP12
P56,考察,KP28
P56,考察,KP8
P56,考察,KP22
P57,考察,KP23
P57,考察,KP9
P57,考察,KP8
P58,考察,KP5
P59,考察,KP1
P59,考察,KP9
P60,考察,KP12
P60,考察,KP21
P60,考察,KP13
P60,考察,KP9
P60,考察,KP5
P60,考察,KP25
P60,考察,KP17
P61,考察,KP1
P61,考察,KP2
P61,考察,KP5
P61,考察,KP28
P62,考察,KP1
P62,考察,KP2
P62,考察,KP3
P62,考察,KP4
P62,考察,KP24
P62,考察,KP13
P62,考察,KP9
P62,考察,KP5
P63,考察,KP23
P63,考察,KP12
P63,考察,KP9
P63,考察,KP5
P63,考察,KP8
P64,考察,KP16
P64,考察,KP9
P64,考察,KP8
P65,考察,KP1
P65,考察,KP2
P65,考察,KP3
P65,考察,KP4
P65,考察,KP9
P66,考察,KP1
P66,考察,KP2
P66,考察,KP4
P66,考察,KP9
P67,考察,KP1
P67,考察,KP12
P67,考察,KP9
P67,考察,KP8
P67,考察,KP17
P68,考察,KP2
P68,考察,KP21
P68,考察,KP9
P68,考察,KP5
P68,考察,KP17
P69,考察,KP1
P69,考察,KP12
P69,考察,KP4
P69,考察,KP5
P69,考察,KP8
P70,考察,KP26
P70,考察,KP9
P70,考察,KP8
P71,考察,KP9
P71,考察,KP22
P72,考察,KP1
P72,考察,KP21
P72,考察,KP7
P72,考察,KP5
P72,考察,KP28
P72,考察,KP17
P73,考察,KP1
P73,考察,KP12
P73,考察,KP7
P73,考察,KP9
P73,考察,KP28
P73,考察,KP17
P74,考察,KP21
P74,考察,KP4
P74,考察,KP24
P74,考察,KP9
P74,考察,KP8
P75,考察,KP1
P75,考察,KP9
P75,考察,KP8
P76,考察,KP1
P76,考察,KP4
P76,考察,KP9
P76,考察,KP10
P77,考察,KP9
P77,考察,KP8
P77,考察,KP6
P78,考察,KP12
P78,考察,KP9
P78,考察,KP8
P79,考察,KP2
P79,考察,KP8
P80,考察,KP3
P80,考察,KP7
P80,考察,KP24
P80,考察,KP13
P80,考察,KP17
P81,考察,KP1
P81,考察,KP2
P81,考察,KP21
P81,考察,KP4
P81,考察,KP5
P81,考察,KP8
P82,考察,KP1
P82,考察,KP4
P82,考察,KP9
P82,考察,KP11
P83,考察,KP1
P83,考察,KP9
P83,考察,KP8
P83,考察,KP22
P84,考察,KP2
P84,考察,KP12
P84,考察,KP26
P84,考察,KP9
P84,考察,KP8
P85,考察,KP2
P85,考察,KP3
P85,考察,KP4
P85,考察,KP9
P85,考察,KP5
P86,考察,KP8
P87,考察,KP23
P87,考察,KP3
P87,考察,KP4
P87,考察,KP5
P87,考察,KP6
P88,考察,KP12
P88,考察,KP5
P88,考察,KP10
P89,考察,KP12
P89,考察,KP21
P89,考察,KP5
P89,考察,KP10
P90,考察,KP1
P90,考察,KP9
P90,考察,KP5
P90,考察,KP6
P91,考察,KP9
P91,考察,KP8
P92,考察,KP2
P92,考察,KP9
P92,考察,KP5
P92,考察,KP8
P93,考察,KP5
P93,考察,KP6
P94,考察,KP12
P94,考察,KP8
P95,考察,KP16
P95,考察,KP4
P95,考察,KP17
P96,考察,KP3
P96,考察,KP4
P96,考察,KP9
P96,考察,KP17
P97,考察,KP3
P97,考察,KP5
P97,考察,KP6
P97,考察,KP10
P98,考察,KP1
P98,考察,KP2
P98,考察,KP3
P98,考察,KP9
P98,考察,KP15
P98,考察,KP10
P99,考察,KP2
P99,考察,KP3
P99,考察,KP7
P99,考察,KP9
P99,考察,KP6
P100,考察,KP12
P100,考察,KP5
P101,考察,KP8
P101,考察,KP6
P102,考察,KP2
P102,考察,KP9
P103,考察,KP4
P103,考察,KP29
P104,考察,KP3
P104,考察,KP21
P104,考察,KP4
P104,考察,KP9
P105,考察,KP23
P105,考察,KP8
P105,考察,KP30
P106,考察,KP18
P106,考察,KP19
P106,考察,KP5
P106,考察,KP8
P106,考察,KP22
P107,考察,KP16
P107,考察,KP21
P107,考察,KP4
P107,考察,KP24
P107,考察,KP13
P107,考察,KP5
P107,考察,KP8
P107,考察,KP17
P108,考察,KP14
P108,考察,KP2
P108,考察,KP8
P108,考察,KP6
P109,考察,KP23
P109,考察,KP16
P109,考察,KP4
P109,考察,KP31
P109,考察,KP8
P110,考察,KP23
P110,考察,KP12
P110,考察,KP28
P111,考察,KP3
P111,考察,KP5
P111,考察,KP10
P112,考察,KP9
P112,考察,KP5
P112,考察,KP6
P113,考察,KP16
P113,考察,KP12
P113,考察,KP8
P114,考察,KP4
P114,考察,KP5
P115,考察,KP9
P115,考察,KP8
P115,考察,KP6
P116,考察,KP12
P116,考察,KP9
P117,考察,KP1
P117,考察,KP2
P117,考察,KP8
P117,考察,KP22
P118,考察,KP3
P118,考察,KP5
P118,考察,KP8
P119,考察,KP12
P120,考察,KP23
P121,考察,KP9
P121,考察,KP11
P121,考察,KP10
P122,考察,KP8
P123,考察,KP2
P123,考察,KP12
P124,考察,KP11
P125,考察,KP1
P125,考察,KP23
P125,考察,KP3
P125,考察,KP21
P125,考察,KP9
P125,考察,KP11
P125,考察,KP17
P125,考察,KP10
P126,考察,KP23
P126,考察,KP2
P126,考察,KP9
P127,考察,KP1
P127,考察,KP2
P127,考察,KP9
P128,考察,KP23
P128,考察,KP5
P129,考察,KP8
