id,title,difficulty,source
P1,Shifts and Swaps,Very Hard,https://codeforces.com/problemset/problem/2118/F
P2,Grid Coloring,Hard,https://codeforces.com/problemset/problem/2118/E
P3,"Red Light, Green Light (Hard version)",Hard,https://codeforces.com/problemset/problem/2118/D2
P4,"Red Light, Green Light (Easy version)",Mid,https://codeforces.com/problemset/problem/2118/D1
P5,Make It Beautiful,Mid,https://codeforces.com/problemset/problem/2118/C
P6,Make It Permutation,Easy,https://codeforces.com/problemset/problem/2118/B
P7,Equal Subsequences,Easy,https://codeforces.com/problemset/problem/2118/A
P8,Incessant Rain,Very Hard,https://codeforces.com/problemset/problem/2117/H
P9,Omg Graph,Mid,https://codeforces.com/problemset/problem/2117/G
P10,Wildflower,Mid,https://codeforces.com/problemset/problem/2117/F
P11,Lost Soul,Mid,https://codeforces.com/problemset/problem/2117/E
P12,Retaliation,Easy,https://codeforces.com/problemset/problem/2117/D
P13,Cool Partition,Easy,https://codeforces.com/problemset/problem/2117/C
P14,Shrink,Easy,https://codeforces.com/problemset/problem/2117/B
P15,False Alarm,Easy,https://codeforces.com/problemset/problem/2117/A
P16,Gellyfish and Baby's Breath,Mid,https://codeforces.com/problemset/problem/2116/B
P17,Gellyfish and Tricolor Pansy,Easy,https://codeforces.com/problemset/problem/2116/A
P18,Gellyfish and Lycoris Radiata (Hard Version),Very Hard,https://codeforces.com/problemset/problem/2115/F2
P19,Gellyfish and Lycoris Radiata (Easy Version),Very Hard,https://codeforces.com/problemset/problem/2115/F1
P20,Gellyfish and Mayflower,Very Hard,https://codeforces.com/problemset/problem/2115/E
P21,Gellyfish and Forget-Me-Not,Very Hard,https://codeforces.com/problemset/problem/2115/D
P22,Gellyfish and Eternal Violet,Very Hard,https://codeforces.com/problemset/problem/2115/C
P23,Gellyfish and Camellia Japonica,Hard,https://codeforces.com/problemset/problem/2115/B
P24,Gellyfish and Flaming Peony,Mid,https://codeforces.com/problemset/problem/2115/A
P25,Build an Array,Hard,https://codeforces.com/problemset/problem/2114/G
P26,Small Operations,Hard,https://codeforces.com/problemset/problem/2114/F
P27,Kirei Attacks the Estate,Mid,https://codeforces.com/problemset/problem/2114/E
P28,Come a Little Closer,Mid,https://codeforces.com/problemset/problem/2114/D
P29,Need More Arrays,Easy,https://codeforces.com/problemset/problem/2114/C
P30,Not Quite a Palindromic String,Easy,https://codeforces.com/problemset/problem/2114/B
P31,Square Year,Easy,https://codeforces.com/problemset/problem/2114/A
P32,Two Arrays,Very Hard,https://codeforces.com/problemset/problem/2113/F
P33,From Kazan with Love,Very Hard,https://codeforces.com/problemset/problem/2113/E
P34,Cheater,Hard,https://codeforces.com/problemset/problem/2113/D
P35,Smilo and Minecraft,Mid,https://codeforces.com/problemset/problem/2113/C
P36,Good Start,Easy,https://codeforces.com/problemset/problem/2113/B
P37,Shashliks,Easy,https://codeforces.com/problemset/problem/2113/A
P38,Divisible Subarrays,Very Hard,https://codeforces.com/problemset/problem/2111/G
P39,Puzzle,Hard,https://codeforces.com/problemset/problem/2111/F
